CustomerID,Recency,Frequency,Monetary,NumOrders,NumUniqueProducts,TotalQuantity,AvgQuantity,TotalSpent,AvgOrderValue,StdOrderValue,FirstPurchase,LastPurchase,MainCountry,CustomerLifespan,Cluster,Algorithm_Used,Auto_Profile
12346,326,1,77183.6,1,1,74215,74215.0,77183.6,77183.6,,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,0,5,K-Means,Anomalous customers
12347,2,7,4310.0,7,103,2458,13.51,4310.0,23.68,23.29,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,365,1,K-Means,Loyal Customers
12348,75,4,1797.24,4,22,2341,75.52,1797.24,57.98,48.51,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,282,1,K-Means,Loyal Customers
12349,19,1,1757.55,1,73,631,8.64,1757.55,24.08,34.66,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0,0,K-Means,Passive Customers
12350,310,1,334.4,1,17,197,11.59,334.4,19.67,7.28,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0,4,K-Means,Lost Customers
12352,36,8,2506.04,8,59,536,6.31,2506.04,29.48,51.69,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,260,1,K-Means,Loyal Customers
12353,204,1,89.0,1,4,20,5.0,89.0,22.25,12.22,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0,4,K-Means,Lost Customers
12354,232,1,1079.4,1,58,530,9.14,1079.4,18.61,8.68,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0,4,K-Means,Lost Customers
12355,214,1,459.4,1,13,240,18.46,459.4,35.34,29.7,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0,4,K-Means,Lost Customers
12356,23,3,2811.43,3,53,1591,26.97,2811.43,47.65,48.57,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,302,1,K-Means,Loyal Customers
12357,33,1,6207.67,1,131,2708,20.67,6207.67,47.39,39.56,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0,0,K-Means,Passive Customers
12358,2,2,1168.06,2,13,248,13.05,1168.06,61.48,52.28,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,149,0,K-Means,Passive Customers
12359,58,4,6310.03,4,214,1609,6.57,6310.03,25.76,31.52,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,274,1,K-Means,Loyal Customers
12360,52,3,2662.06,3,105,1165,9.03,2662.06,20.64,21.39,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,148,1,K-Means,Loyal Customers
12361,287,1,189.9,1,10,91,9.1,189.9,18.99,3.28,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,0,4,K-Means,Lost Customers
12362,3,10,5226.23,10,201,2229,8.38,5226.23,19.65,9.66,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,292,1,K-Means,Loyal Customers
12363,110,2,552.0,2,23,408,17.74,552.0,24.0,15.75,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,132,0,K-Means,Passive Customers
12364,8,4,1313.1,4,70,1506,17.72,1313.1,15.45,8.91,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,104,0,K-Means,Passive Customers
12365,291,2,641.38,2,22,174,7.91,641.38,29.15,65.2,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,0,4,K-Means,Lost Customers
12367,4,1,168.9,1,11,173,15.73,168.9,15.35,5.65,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0,0,K-Means,Passive Customers
12370,51,4,3541.94,4,143,2352,14.17,3541.94,21.34,21.14,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,309,1,K-Means,Loyal Customers
12371,45,2,1887.96,2,63,591,9.38,1887.96,29.97,44.28,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,14,0,K-Means,Passive Customers
12372,72,3,1298.04,3,34,794,15.27,1298.04,24.96,16.38,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,224,1,K-Means,Loyal Customers
12373,311,1,364.6,1,14,197,14.07,364.6,26.04,10.26,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,0,4,K-Means,Lost Customers
12374,25,1,742.9300000000001,1,33,342,10.36,742.93,22.51,19.77,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0,0,K-Means,Passive Customers
12375,11,2,457.5,2,14,178,10.47,457.5,26.91,14.67,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,87,0,K-Means,Passive Customers
12377,315,2,1628.12,2,72,944,12.26,1628.12,21.14,15.53,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,39,4,K-Means,Lost Customers
12378,130,1,4008.62,1,219,2529,11.55,4008.62,18.3,8.96,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0,0,K-Means,Passive Customers
12379,82,2,852.24,2,39,407,10.18,852.24,21.31,12.2,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,88,0,K-Means,Passive Customers
12380,22,4,2724.81,4,77,1127,10.84,2724.81,26.2,27.09,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,164,1,K-Means,Loyal Customers
